X,Y
20000,3.33215E-05
20201.34228,3.33906E-05
20402.68456,3.34576E-05
20604.02685,3.35224E-05
20805.36913,3.35853E-05
21006.71141,3.36461E-05
21208.05369,3.3705E-05
21409.39597,3.3762E-05
21610.73826,3.3817E-05
21812.08054,3.38703E-05
22013.42282,3.39217E-05
22214.7651,3.39714E-05
22416.10738,3.40193E-05
22617.44966,3.40655E-05
22818.79195,3.41101E-05
23020.13423,3.4153E-05
23221.47651,3.41944E-05
23422.81879,3.42341E-05
23624.16107,3.42724E-05
23825.50336,3.43091E-05
24026.84564,3.43444E-05
24228.18792,3.43782E-05
24429.5302,3.44106E-05
24630.87248,3.44417E-05
24832.21477,3.44713E-05
25033.55705,3.44997E-05
25234.89933,3.45267E-05
25436.24161,3.45524E-05
25637.58389,3.45769E-05
25838.92617,3.46002E-05
26040.26846,3.46223E-05
26241.61074,3.46431E-05
26442.95302,3.46629E-05
26644.2953,3.46814E-05
26845.63758,3.46989E-05
27046.97987,3.47153E-05
27248.32215,3.47306E-05
27449.66443,3.47449E-05
27651.00671,3.47581E-05
27852.34899,3.47704E-05
28053.69128,3.47816E-05
28255.03356,3.47919E-05
28456.37584,3.48012E-05
28657.71812,3.48096E-05
28859.0604,3.48171E-05
29060.40268,3.48237E-05
29261.74497,3.48294E-05
29463.08725,3.48343E-05
29664.42953,3.48383E-05
29865.77181,3.48415E-05
30067.11409,3.48438E-05
30268.45638,3.48454E-05
30469.79866,3.48462E-05
30671.14094,3.48463E-05
30872.48322,3.48455E-05
31073.8255,3.48441E-05
31275.16779,3.48419E-05
31476.51007,3.48391E-05
31677.85235,3.48355E-05
31879.19463,3.48313E-05
32080.53691,3.48264E-05
32281.87919,3.48208E-05
32483.22148,3.48146E-05
32684.56376,3.48078E-05
32885.90604,3.48004E-05
33087.24832,3.47923E-05
33288.5906,3.47837E-05
33489.93289,3.47745E-05
33691.27517,3.47647E-05
33892.61745,3.47544E-05
34093.95973,3.47435E-05
34295.30201,3.47321E-05
34496.6443,3.47202E-05
34697.98658,3.47077E-05
34899.32886,3.46948E-05
35100.67114,3.46813E-05
35302.01342,3.46674E-05
35503.3557,3.4653E-05
35704.69799,3.46381E-05
35906.04027,3.46228E-05
36107.38255,3.4607E-05
36308.72483,3.45908E-05
36510.06711,3.45742E-05
36711.4094,3.45571E-05
36912.75168,3.45396E-05
37114.09396,3.45218E-05
37315.43624,3.45035E-05
37516.77852,3.44848E-05
37718.12081,3.44658E-05
37919.46309,3.44464E-05
38120.80537,3.44266E-05
38322.14765,3.44065E-05
38523.48993,3.4386E-05
38724.83221,3.43652E-05
38926.1745,3.4344E-05
39127.51678,3.43225E-05
39328.85906,3.43007E-05
39530.20134,3.42786E-05
39731.54362,3.42561E-05
39932.88591,3.42334E-05
40134.22819,3.42103E-05
40335.57047,3.4187E-05
40536.91275,3.41634E-05
40738.25503,3.41395E-05
40939.59732,3.41153E-05
41140.9396,3.40909E-05
41342.28188,3.40662E-05
41543.62416,3.40412E-05
41744.96644,3.4016E-05
41946.30872,3.39906E-05
42147.65101,3.39649E-05
42348.99329,3.3939E-05
42550.33557,3.39128E-05
42751.67785,3.38865E-05
42953.02013,3.38599E-05
43154.36242,3.3833E-05
43355.7047,3.3806E-05
43557.04698,3.37788E-05
43758.38926,3.37514E-05
43959.73154,3.37238E-05
44161.07383,3.36959E-05
44362.41611,3.36679E-05
44563.75839,3.36397E-05
44765.10067,3.36114E-05
44966.44295,3.35828E-05
45167.78523,3.35541E-05
45369.12752,3.35252E-05
45570.4698,3.34961E-05
45771.81208,3.34669E-05
45973.15436,3.34376E-05
46174.49664,3.34081E-05
46375.83893,3.33784E-05
46577.18121,3.33486E-05
46778.52349,3.33186E-05
46979.86577,3.32885E-05
47181.20805,3.32583E-05
47382.55034,3.32279E-05
47583.89262,3.31974E-05
47785.2349,3.31668E-05
47986.57718,3.31361E-05
48187.91946,3.31052E-05
48389.26174,3.30742E-05
48590.60403,3.30431E-05
48791.94631,3.30119E-05
48993.28859,3.29806E-05
49194.63087,3.29492E-05
49395.97315,3.29177E-05
49597.31544,3.28861E-05
49798.65772,3.28544E-05
50000,3.28226E-05
